index,County,Precinct,Registered Voters,"Patrick """"Pat"""" Labat (Dem)_Election Day Votes","Patrick """"Pat"""" Labat (Dem)_Advanced Voting Votes","Patrick """"Pat"""" Labat (Dem)_Absentee by Mail Votes","Patrick """"Pat"""" Labat (Dem)_Provisional Votes","Patrick """"Pat"""" Labat (Dem)_Choice Total",Total,
35,Fulton,03F,2328,134,824,328,3,1289,1289,
36,Fulton,03G,1033,80,149,40,4,273,273,
37,Fulton,03H,1091,85,222,95,0,402,402,
38,Fulton,03I,1607,104,333,106,18,561,561,
39,Fulton,03L,748,67,93,43,0,203,203,
40,Fulton,03M,965,156,240,83,2,481,481,
41,Fulton,03N,2804,228,460,153,23,864,864,
42,Fulton,03P1A,4404,273,1382,498,14,2167,2167,
43,Fulton,03P2,23,0,7,0,0,7,7,
44,Fulton,03S,908,97,202,105,0,404,404,
45,Fulton,03T,1742,145,496,126,4,771,771,
46,Fulton,04A,1554,95,319,160,0,574,574,
47,Fulton,04B,2948,124,411,206,0,741,741,
48,Fulton,04C,150,11,27,12,1,51,51,
49,Fulton,04D,1736,152,452,186,5,795,795,
50,Fulton,04F,2786,189,771,201,11,1172,1172,
51,Fulton,04G,1025,118,190,81,1,390,390,
52,Fulton,04I,4604,74,450,172,6,702,702,
53,Fulton,04J,1617,47,110,17,10,184,184,
54,Fulton,04K,2736,192,697,351,14,1254,1254,
55,Fulton,04L,2014,167,555,188,6,916,916,
56,Fulton,04M,979,102,151,67,5,325,325,
57,Fulton,04S,2541,263,601,300,8,1172,1172,
58,Fulton,04T,1297,133,340,155,19,647,647,
59,Fulton,04V,3573,372,702,220,3,1297,1297,
60,Fulton,04W,3365,56,130,27,6,219,219,
61,Fulton,04X1,2283,165,599,262,2,1028,1028,
62,Fulton,04X2,846,59,237,93,0,389,389,
63,Fulton,05A1,2936,134,1264,590,1,1989,1989,
64,Fulton,05A2,3343,143,1436,590,10,2179,2179,
65,Fulton,05B,2171,169,615,259,3,1046,1046,
66,Fulton,05C,135,6,27,5,0,38,38,
67,Fulton,05D,541,19,58,9,2,88,88,
68,Fulton,05F,248,22,85,24,0,131,131,
69,Fulton,05J,684,36,272,118,1,427,427,
70,Fulton,05K,2826,150,715,273,5,1143,1143,
71,Fulton,06B,1889,92,782,367,7,1248,1248,
72,Fulton,06D,6160,325,2188,1937,10,4460,4460,
73,Fulton,06D1,2539,68,987,152,4,1211,1211,
74,Fulton,06D2,850,25,326,48,1,400,400,
75,Fulton,06E,2344,114,868,381,3,1366,1366,
76,Fulton,06F,2841,116,1143,494,5,1758,1758,
77,Fulton,06G,588,20,221,121,1,363,363,
78,Fulton,06I,4072,298,1425,532,22,2277,2277,
79,Fulton,06J,2770,93,1055,690,1,1839,1839,
80,Fulton,06L1,991,36,369,223,2,630,630,
81,Fulton,06L2,726,26,261,131,1,419,419,
82,Fulton,06N,1770,76,524,282,10,892,892,
83,Fulton,06Q,571,48,210,61,4,323,323,
84,Fulton,06R,2015,61,697,360,2,1120,1120,
85,Fulton,07A,7691,490,2375,1195,18,4078,4078,
86,Fulton,07B,2952,144,959,563,1,1667,1667,
87,Fulton,07C,4512,213,1199,916,11,2339,2339,
88,Fulton,07D,4879,281,1598,621,20,2520,2520,
89,Fulton,07E,2247,66,755,528,5,1354,1354,
