county,ai_male_17.5,ai_female_17.5,ai_unknown_17.5,ap_male_17.5,ap_female_17.5,ap_unknown_17.5,bh_male_17.5,bh_female_17.5,bh_unknown_17.5,hp_male_17.5,hp_female_17.5,hp_unknown_17.5,wh_male_17.5,wh_female_17.5,wh_unknown_17.5,ot_male_17.5,ot_female_17.5,ot_unknown_17.5,uk_male_17.5,uk_female_17.5,uk_unknown_17.5,ai_male_18-24,ai_female_18-24,ai_unknown_18-24,ap_male_18-24,ap_female_18-24,ap_unknown_18-24,bh_male_18-24,bh_female_18-24,bh_unknown_18-24,hp_male_18-24,hp_female_18-24,hp_unknown_18-24,wh_male_18-24,wh_female_18-24,wh_unknown_18-24,ot_male_18-24,ot_female_18-24,ot_unknown_18-24,uk_male_18-24,uk_female_18-24,uk_unknown_18-24,ai_male_25-29,ai_female_25-29,ai_unknown_25-29,ap_male_25-29,ap_female_25-29,ap_unknown_25-29,bh_male_25-29,bh_female_25-29,bh_unknown_25-29,hp_male_25-29,hp_female_25-29,hp_unknown_25-29,wh_male_25-29,wh_female_25-29,wh_unknown_25-29,ot_male_25-29,ot_female_25-29,ot_unknown_25-29,uk_male_25-29,uk_female_25-29,uk_unknown_25-29,ai_male_30-34,ai_female_30-34,ai_unknown_30-34,ap_male_30-34,ap_female_30-34,ap_unknown_30-34,bh_male_30-34,bh_female_30-34,bh_unknown_30-34,hp_male_30-34,hp_female_30-34,hp_unknown_30-34,wh_male_30-34,wh_female_30-34,wh_unknown_30-34,ot_male_30-34,ot_female_30-34,ot_unknown_30-34,uk_male_30-34,uk_female_30-34,uk_unknown_30-34,ai_male_35-39,ai_female_35-39,ai_unknown_35-39,ap_male_35-39,ap_female_35-39,ap_unknown_35-39,bh_male_35-39,bh_female_35-39,bh_unknown_35-39,hp_male_35-39,hp_female_35-39,hp_unknown_35-39,wh_male_35-39,wh_female_35-39,wh_unknown_35-39,ot_male_35-39,ot_female_35-39,ot_unknown_35-39,uk_male_35-39,uk_female_35-39,uk_unknown_35-39,ai_male_40-44,ai_female_40-44,ai_unknown_40-44,ap_male_40-44,ap_female_40-44,ap_unknown_40-44,bh_male_40-44,bh_female_40-44,bh_unknown_40-44,hp_male_40-44,hp_female_40-44,hp_unknown_40-44,wh_male_40-44,wh_female_40-44,wh_unknown_40-44,ot_male_40-44,ot_female_40-44,ot_unknown_40-44,uk_male_40-44,uk_female_40-44,uk_unknown_40-44,ai_male_45-49,ai_female_45-49,ai_unknown_45-49,ap_male_45-49,ap_female_45-49,ap_unknown_45-49,bh_male_45-49,bh_female_45-49,bh_unknown_45-49,hp_male_45-49,hp_female_45-49,hp_unknown_45-49,wh_male_45-49,wh_female_45-49,wh_unknown_45-49,ot_male_45-49,ot_female_45-49,ot_unknown_45-49,uk_male_45-49,uk_female_45-49,uk_unknown_45-49,ai_male_50-54,ai_female_50-54,ai_unknown_50-54,ap_male_50-54,ap_female_50-54,ap_unknown_50-54,bh_male_50-54,bh_female_50-54,bh_unknown_50-54,hp_male_50-54,hp_female_50-54,hp_unknown_50-54,wh_male_50-54,wh_female_50-54,wh_unknown_50-54,ot_male_50-54,ot_female_50-54,ot_unknown_50-54,uk_male_50-54,uk_female_50-54,uk_unknown_50-54,ai_male_55-59,ai_female_55-59,ai_unknown_55-59,ap_male_55-59,ap_female_55-59,ap_unknown_55-59,bh_male_55-59,bh_female_55-59,bh_unknown_55-59,hp_male_55-59,hp_female_55-59,hp_unknown_55-59,wh_male_55-59,wh_female_55-59,wh_unknown_55-59,ot_male_55-59,ot_female_55-59,ot_unknown_55-59,uk_male_55-59,uk_female_55-59,uk_unknown_55-59,ai_male_60-64,ai_female_60-64,ai_unknown_60-64,ap_male_60-64,ap_female_60-64,ap_unknown_60-64,bh_male_60-64,bh_female_60-64,bh_unknown_60-64,hp_male_60-64,hp_female_60-64,hp_unknown_60-64,wh_male_60-64,wh_female_60-64,wh_unknown_60-64,ot_male_60-64,ot_female_60-64,ot_unknown_60-64,uk_male_60-64,uk_female_60-64,uk_unknown_60-64,ai_male_65+,ai_female_65+,ai_unknown_65+,ap_male_65+,ap_female_65+,ap_unknown_65+,bh_male_65+,bh_female_65+,bh_unknown_65+,hp_male_65+,hp_female_65+,hp_unknown_65+,wh_male_65+,wh_female_65+,wh_unknown_65+,ot_male_65+,ot_female_65+,ot_unknown_65+,uk_male_65+,uk_female_65+,uk_unknown_65+
Lumpkin County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,15,11,0,19,14,0,68,63,0,1162,1125,7,18,32,0,124,75,3,6,0,0,4,4,0,22,12,0,25,19,0,822,835,1,21,15,0,80,77,0,4,3,0,7,4,0,9,6,0,18,17,0,774,800,0,7,9,0,81,48,0,7,3,0,1,5,0,7,3,0,14,9,0,643,711,0,8,12,0,73,36,0,6,1,0,2,3,0,9,6,0,13,9,0,651,686,0,10,9,0,65,45,0,3,10,0,3,8,0,2,4,0,11,9,0,688,709,0,5,9,0,60,45,0,3,3,0,1,7,0,5,8,0,11,19,0,734,814,0,10,5,0,60,48,0,6,3,0,3,7,0,9,7,0,12,13,0,832,880,0,5,4,0,96,77,1,2,4,0,2,4,0,11,10,0,11,15,0,842,1020,0,10,7,0,82,62,1,15,8,0,4,6,0,8,9,0,8,13,0,2368,2667,2,9,10,0,210,210,2
Macon County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,3,0,230,255,0,12,25,0,89,105,2,5,8,0,32,21,0,0,0,0,3,2,0,175,196,1,6,6,0,88,76,0,2,4,0,15,11,1,1,0,0,1,2,0,181,206,0,2,3,0,73,64,0,3,0,0,16,8,0,0,0,0,1,1,0,133,165,0,4,5,0,77,63,0,4,1,0,13,10,0,1,0,0,4,1,0,127,154,0,0,1,0,67,80,0,0,1,0,10,12,0,0,0,0,0,2,0,137,160,0,0,1,0,99,82,0,2,3,0,11,10,0,1,0,0,6,5,0,128,178,0,6,0,0,85,105,0,0,1,0,12,7,0,0,0,0,8,3,0,173,225,0,2,5,0,123,109,0,1,2,0,16,10,0,0,0,0,7,3,0,182,239,0,1,0,0,119,131,0,2,0,0,9,11,0,0,0,0,4,6,0,368,558,1,2,3,0,381,417,0,0,0,0,22,18,0
Madison County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,19,19,1,111,95,2,79,86,0,859,891,12,26,30,1,107,77,4,2,4,0,16,12,1,79,76,0,21,30,0,679,710,3,12,10,0,80,64,1,2,1,0,10,10,0,78,82,0,16,16,0,627,721,2,11,11,0,69,55,1,2,1,0,7,12,0,93,75,0,11,13,0,562,605,1,6,10,0,76,70,1,2,1,0,6,9,0,62,97,0,8,9,0,568,656,1,7,6,0,57,72,1,4,2,0,10,16,0,71,81,0,4,12,0,657,723,1,4,6,0,69,54,1,5,0,0,8,7,0,59,73,0,7,15,0,707,735,0,5,6,0,76,64,0,1,4,0,7,5,0,74,94,0,8,9,0,744,815,1,6,5,0,72,66,0,0,1,0,3,7,0,63,73,0,6,5,0,679,742,2,2,3,0,58,61,1,4,0,0,10,18,0,141,191,0,11,9,0,1861,2057,2,8,5,0,141,131,2
Marion County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,4,4,0,66,84,0,12,14,0,128,150,1,2,6,0,19,15,0,0,0,0,4,2,0,68,69,0,3,5,0,97,112,1,2,4,0,13,7,0,1,0,0,0,1,0,64,78,0,3,4,0,108,123,0,0,5,0,8,11,0,0,0,0,0,1,0,43,71,0,3,3,0,96,109,0,2,2,0,9,4,0,0,0,0,1,3,0,47,52,0,3,2,0,90,98,0,4,1,0,5,5,0,0,1,0,2,3,0,51,52,0,6,1,0,92,139,1,1,3,0,9,8,0,0,0,0,4,3,0,53,71,0,5,5,0,134,135,0,0,1,0,12,6,0,0,1,0,0,2,0,66,93,0,5,2,0,168,151,0,2,1,0,10,9,0,0,1,0,2,1,0,66,80,0,2,1,0,167,143,1,1,1,0,4,6,1,0,2,0,1,2,0,145,168,0,7,4,0,390,426,1,1,2,0,15,16,0
Mcduffie County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,2,0,358,384,0,24,27,0,445,451,0,9,19,0,12,13,0,1,1,0,2,5,0,250,296,0,8,9,0,294,313,0,6,5,0,5,9,0,2,0,0,4,3,0,210,342,0,4,8,0,288,331,0,3,3,0,7,8,0,0,1,0,5,2,0,241,289,0,5,9,0,273,316,0,2,4,0,9,8,0,3,2,0,2,4,0,196,278,0,4,7,0,254,298,0,5,3,0,3,2,0,0,1,0,1,2,0,184,257,0,6,2,0,345,346,0,1,0,0,6,4,0,0,1,0,1,5,0,200,250,0,4,4,0,353,368,0,0,1,0,11,2,0,2,1,0,1,1,0,226,316,0,2,4,0,402,449,0,3,1,0,11,5,0,1,1,0,2,1,0,229,269,0,0,3,0,377,453,0,0,1,0,6,7,0,0,2,0,3,5,0,390,679,0,7,8,0,1108,1342,0,0,0,0,6,13,0
Mcintosh County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,0,129,131,0,3,4,0,246,254,2,11,12,0,28,15,1,0,0,0,1,4,0,111,108,0,7,8,0,194,199,0,4,6,0,23,14,0,0,0,0,2,3,0,101,118,0,5,5,0,151,198,1,1,4,0,13,16,0,1,1,0,1,2,0,80,91,0,2,2,0,166,161,0,5,4,0,19,13,0,1,1,0,1,0,0,74,106,0,0,3,0,152,171,0,4,3,0,13,17,0,1,2,0,4,0,0,92,107,0,2,5,0,218,224,0,2,2,0,21,13,0,0,0,0,1,1,0,98,102,0,2,4,0,253,273,0,3,5,0,26,12,0,0,0,0,0,0,0,121,135,0,3,2,0,270,281,0,1,2,0,34,17,0,1,2,0,1,2,0,117,135,0,2,4,0,307,333,0,1,0,0,19,21,0,0,3,0,3,0,0,281,407,0,4,4,0,969,998,0,3,7,0,70,54,0
Meriwether County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,4,0,250,287,1,12,9,0,367,367,1,12,19,0,103,81,0,2,4,1,0,1,0,209,242,0,3,11,0,320,309,2,5,12,0,62,37,0,3,2,0,0,3,0,202,281,0,2,1,0,307,293,0,9,7,0,32,43,0,1,0,0,1,3,0,171,237,1,1,7,0,264,261,0,6,5,0,41,32,0,0,1,0,3,2,0,177,252,0,7,4,0,277,285,0,3,4,0,34,28,0,1,3,0,1,1,0,192,244,0,0,4,0,312,343,0,2,2,0,57,39,0,1,0,0,2,4,0,204,253,0,3,2,0,365,395,0,3,2,0,41,32,1,4,2,0,0,2,0,219,275,0,2,3,0,435,462,1,0,4,0,51,51,0,0,0,0,2,1,0,191,249,1,4,5,0,403,444,0,6,3,0,39,49,1,0,0,0,3,2,0,472,699,0,4,6,0,1155,1349,2,6,6,1,91,89,1
Miller County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,59,65,0,2,6,0,157,122,0,2,0,0,10,10,0,0,0,0,0,0,0,38,58,0,1,2,0,80,83,0,0,0,0,9,5,0,0,1,0,1,1,0,48,59,0,3,1,0,74,87,0,2,2,0,7,3,0,0,0,0,0,1,0,31,46,0,3,1,0,86,117,0,1,0,0,6,5,0,0,1,0,0,1,0,30,49,0,0,1,0,107,84,0,1,1,0,7,5,0,0,0,0,0,0,0,31,45,0,0,1,0,91,98,0,0,1,0,6,3,0,0,1,0,1,0,0,30,48,0,0,1,0,102,110,0,1,1,0,1,4,0,0,0,0,0,0,0,51,70,0,1,2,0,118,133,0,0,0,0,3,3,0,0,0,0,0,0,0,51,39,0,0,0,0,109,125,0,0,0,0,4,0,0,0,2,0,0,0,0,67,119,0,0,1,0,387,460,0,0,1,1,6,6,0
Mitchell County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,5,7,0,345,332,2,29,27,0,303,323,3,7,14,0,111,87,1,3,3,0,1,2,0,250,290,2,12,16,0,202,249,1,8,2,0,42,40,0,0,0,0,0,1,0,202,315,0,5,9,0,207,221,0,8,4,0,31,26,1,0,0,0,3,3,0,182,262,1,6,6,0,226,245,1,4,4,0,34,22,0,1,3,0,2,1,0,164,255,0,7,4,0,219,235,1,3,1,0,25,21,1,0,0,0,1,2,0,194,264,0,6,4,0,271,246,0,2,1,0,25,28,0,0,0,0,2,4,0,204,251,0,6,2,0,247,292,0,0,0,0,25,28,2,1,0,0,3,3,0,224,327,1,4,4,0,317,292,0,2,2,0,38,33,0,0,2,0,1,1,0,201,272,0,3,1,0,288,317,0,2,3,0,32,30,2,0,1,0,2,4,0,448,737,1,6,5,0,869,1033,0,2,2,0,71,91,1
Monroe County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,5,11,1,231,219,7,19,19,0,801,734,3,15,21,0,94,57,2,3,1,0,11,6,0,178,199,1,18,4,0,505,512,3,17,13,0,47,55,3,1,2,0,6,4,0,161,185,2,9,16,0,522,531,0,7,10,1,60,51,0,1,2,0,3,6,0,151,152,0,12,6,0,551,596,0,11,13,0,57,53,0,4,3,0,4,6,0,145,171,0,4,7,0,542,609,2,3,10,0,73,58,1,0,2,0,8,4,0,166,180,0,10,5,0,616,668,1,9,15,0,66,58,1,4,3,0,7,7,0,150,188,0,8,5,0,642,657,1,8,6,0,53,53,0,0,5,0,4,7,0,156,210,0,2,5,0,684,747,1,6,8,0,62,58,0,0,2,0,5,6,0,167,217,0,5,3,0,719,715,1,8,3,0,59,57,2,2,4,0,10,13,0,377,536,0,7,8,0,1765,1986,4,10,11,0,135,110,2
Montgomery County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,77,62,0,18,9,0,163,186,0,2,8,0,48,35,0,1,0,0,0,1,0,43,56,1,10,10,0,130,141,0,1,0,0,16,13,0,0,1,0,0,0,0,43,44,0,7,6,0,142,163,0,2,1,0,1,11,1,0,0,0,0,1,0,38,50,0,2,8,0,133,172,0,0,2,0,7,6,0,0,0,0,1,1,0,32,59,0,3,5,0,144,136,0,2,1,0,7,5,0,0,0,0,0,0,0,37,45,0,1,1,0,148,168,0,2,1,0,9,12,0,0,0,0,0,1,0,60,50,0,1,7,0,167,171,1,0,0,0,11,7,0,1,1,0,2,1,0,55,74,0,3,4,0,157,179,0,0,0,0,16,3,0,0,0,0,0,0,0,58,55,0,3,2,0,168,170,0,0,2,0,23,7,0,1,0,0,0,1,0,114,150,0,2,2,0,454,543,1,3,2,0,14,27,0
Morgan County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,5,4,0,157,152,1,23,17,0,519,574,3,13,15,0,62,51,2,0,0,0,3,3,0,107,139,1,12,7,0,356,394,2,6,7,0,37,25,0,0,1,0,1,5,0,97,137,0,5,11,0,355,424,0,3,4,0,22,16,0,0,3,0,2,4,0,87,100,0,5,6,0,436,450,0,1,1,0,34,26,0,2,1,0,2,2,0,90,107,0,6,9,0,369,370,0,1,4,0,27,25,0,0,0,0,3,5,0,89,127,0,1,5,0,425,480,1,0,0,0,15,16,0,1,2,0,4,2,0,115,127,0,3,3,0,480,502,0,0,3,0,26,13,0,0,1,0,2,5,0,143,151,1,7,3,0,515,501,0,8,3,0,20,17,0,0,0,0,1,5,0,116,150,0,4,4,0,451,517,0,0,2,0,29,35,0,0,0,0,3,3,0,201,368,1,2,3,0,1425,1615,0,3,6,0,59,62,0
Murray County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,6,3,0,10,6,0,189,240,3,969,1022,2,20,23,0,171,132,0,1,2,0,2,2,0,10,6,0,100,115,0,726,765,4,14,15,0,101,77,1,1,2,0,1,4,0,4,7,0,55,56,0,730,802,1,8,7,0,94,57,1,1,0,0,2,2,0,7,7,0,39,53,0,640,749,0,4,7,0,74,67,1,0,0,0,1,1,0,10,4,0,28,45,0,708,775,2,6,6,0,59,49,0,2,2,0,1,4,0,8,7,0,29,54,0,768,902,1,3,2,0,64,65,0,0,0,0,1,5,0,5,5,0,44,38,0,866,899,1,8,6,0,71,71,0,3,4,0,3,1,0,4,7,0,36,12,0,901,945,0,3,2,0,65,61,0,1,0,0,1,4,0,3,4,0,25,14,0,821,887,1,3,4,0,62,52,0,3,4,0,1,3,0,5,4,0,39,28,0,1960,2245,0,11,8,0,112,134,0
Muscogee County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,24,1,157,161,1,3671,4128,25,300,362,3,2466,2617,20,309,371,1,768,710,28,18,22,0,129,116,0,3045,3939,10,285,272,0,2235,2560,15,215,268,2,690,674,17,12,14,0,103,91,1,2679,3686,6,232,270,2,2123,2460,15,127,234,1,537,582,9,10,15,0,82,102,2,2253,3283,6,219,241,1,1944,2192,3,116,171,0,468,502,6,13,6,0,79,137,0,2021,3077,5,163,219,2,1694,2062,3,84,122,0,363,413,6,12,14,0,102,115,0,1954,2813,3,166,149,0,1683,1965,4,81,102,0,326,359,2,8,9,0,96,108,1,1896,2657,1,115,149,1,1831,2080,2,51,78,1,333,283,4,7,5,0,85,80,1,2077,2961,2,130,158,1,2019,2391,6,47,68,0,308,322,4,9,8,2,61,105,2,2298,2784,1,116,114,0,2127,2363,1,39,64,0,276,258,1,11,12,0,127,244,1,4001,5991,2,179,217,1,5603,7657,5,74,115,1,409,584,20
Newton County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,21,0,47,77,1,2238,2613,0,170,190,0,1643,1744,2,115,188,1,851,724,4,8,6,0,21,25,0,1506,1833,1,117,144,0,1198,1306,0,95,124,0,483,407,1,3,8,0,15,21,0,1324,1824,0,68,108,0,1279,1308,0,63,95,0,291,248,1,7,10,0,14,18,0,1194,1787,0,62,101,0,1130,1293,1,56,66,0,263,254,0,8,7,0,15,27,0,1359,2050,1,80,85,1,1150,1271,0,37,58,0,271,265,0,10,4,0,24,35,0,1504,2321,0,67,87,0,1241,1500,1,44,50,0,226,240,0,8,3,0,17,14,0,1581,2062,0,45,64,0,1602,1597,0,40,45,0,255,217,0,8,6,0,12,19,0,1314,1817,1,47,47,0,1553,1635,1,31,42,0,254,242,1,5,3,0,15,16,0,983,1397,0,29,41,0,1357,1518,0,14,31,0,231,195,0,3,5,0,25,26,1,1757,2772,1,51,70,0,3634,4485,3,33,37,0,420,495,0
Oconee County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,65,85,1,77,102,2,96,73,1,1540,1422,9,29,33,2,142,106,3,1,2,0,20,22,0,43,36,1,30,34,1,729,749,5,20,14,0,90,70,3,0,3,0,19,30,0,39,60,0,20,25,1,789,925,2,16,12,0,86,95,6,0,3,0,24,34,0,40,59,0,28,24,0,918,1197,2,7,14,0,106,126,2,3,1,0,34,55,0,52,70,0,29,39,0,1166,1272,2,15,15,0,120,113,2,0,2,0,44,57,0,51,55,0,24,38,0,1137,1217,0,17,20,0,102,99,0,0,1,0,47,41,0,34,54,0,20,34,0,1099,1160,2,15,10,0,96,73,0,1,2,0,42,38,0,53,48,0,21,13,0,1029,1086,0,6,11,0,91,85,0,0,1,0,25,23,0,41,57,0,17,11,0,973,1107,2,7,7,0,99,67,0,2,2,0,48,39,0,95,138,0,20,24,0,2573,2903,1,16,7,0,146,157,1
Oglethorpe County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,89,90,0,31,26,0,401,387,2,18,16,1,58,42,2,0,0,0,3,0,0,65,67,0,16,18,1,290,327,4,7,5,0,41,40,0,3,1,0,0,1,0,62,66,0,6,8,0,292,304,2,5,2,0,28,34,1,1,0,0,2,4,0,46,66,0,8,5,0,306,314,1,5,10,0,30,32,1,0,0,0,0,1,0,59,68,0,3,4,0,264,274,0,4,2,0,36,28,2,1,0,0,2,3,0,64,75,0,8,4,0,324,345,0,1,5,0,33,26,0,0,1,0,2,0,0,60,63,0,6,11,0,333,386,0,2,4,0,29,25,0,1,2,0,0,0,0,73,85,0,11,3,0,378,389,0,2,4,0,48,20,0,1,1,0,0,2,0,59,79,0,5,5,0,416,420,0,3,2,0,28,31,0,1,0,0,2,4,0,135,188,0,7,6,0,972,1066,1,1,4,0,62,74,0
Paulding County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,27,0,61,80,0,1736,1819,11,419,488,2,4557,4419,34,236,286,1,621,487,18,20,18,0,41,37,0,978,1090,5,237,288,1,3229,3408,10,120,170,1,425,357,4,9,12,0,43,46,0,877,1135,2,206,234,0,3285,3599,5,119,103,0,411,411,3,14,9,1,46,63,0,896,1234,0,201,215,1,3168,3525,4,100,107,0,383,472,3,10,13,0,36,56,0,1019,1332,0,194,207,1,3109,3447,2,86,101,0,464,421,4,7,8,0,37,63,0,1089,1408,2,172,206,0,3448,3809,2,66,76,0,447,454,6,12,10,0,36,63,1,1065,1357,1,153,192,0,3729,3833,5,53,61,0,402,435,3,10,9,0,27,36,1,847,1026,4,125,121,0,3566,3594,3,48,68,0,335,376,1,6,7,0,21,29,0,583,750,1,76,69,0,2821,3036,3,46,65,0,314,295,0,2,19,0,43,60,0,772,1240,2,104,157,1,5921,7248,4,58,73,0,589,740,2
Peach County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,518,586,1,88,78,0,388,398,8,26,29,0,75,62,2,4,2,0,3,4,0,332,396,0,30,45,0,340,285,0,14,17,0,60,61,0,0,3,0,5,5,0,329,355,0,22,35,0,330,321,0,8,18,0,46,46,2,2,0,0,3,4,0,251,337,4,20,30,0,273,283,2,19,9,0,35,28,1,0,1,0,1,2,0,242,317,0,14,19,0,261,279,0,6,3,0,39,33,1,1,2,0,4,6,0,219,283,0,14,14,0,322,322,2,5,6,0,39,35,0,1,2,0,5,7,0,252,288,0,17,23,0,373,377,0,1,5,0,40,47,0,2,2,0,4,12,0,266,336,0,18,20,0,456,498,2,7,5,0,36,36,0,1,0,0,4,7,0,265,318,0,15,16,0,452,478,2,6,2,0,51,46,0,6,1,0,7,16,0,560,836,0,21,14,0,1150,1408,0,7,12,0,72,78,1
Pickens County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,8,6,0,15,18,0,29,27,0,902,884,0,9,13,0,247,154,0,1,5,0,2,3,0,15,7,0,11,17,0,605,684,0,9,9,0,138,110,0,1,1,0,2,1,0,12,8,0,5,13,0,704,737,0,7,10,0,93,54,0,0,2,0,3,6,0,7,2,0,7,11,0,628,691,0,5,1,0,78,50,0,1,1,0,2,7,0,6,6,0,7,9,0,662,794,0,6,0,0,57,42,0,0,1,0,6,6,0,10,9,0,11,13,0,781,841,0,3,8,0,70,60,0,1,0,0,6,6,0,6,6,0,8,9,0,919,943,0,1,7,0,83,59,0,2,5,0,5,6,0,5,9,0,5,17,0,994,1084,0,2,5,0,84,71,0,3,1,0,2,7,0,5,11,0,6,10,0,978,1077,0,3,1,0,69,62,0,2,1,0,7,5,0,16,24,0,14,20,0,2975,3306,0,5,9,0,170,187,0
Pierce County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,2,1,38,49,0,18,24,0,559,558,4,9,8,0,93,57,1,2,2,1,3,4,0,38,44,0,13,4,0,378,380,2,3,5,0,46,45,1,0,1,0,0,2,0,33,38,0,6,8,0,361,428,0,6,4,0,32,39,2,2,2,0,2,1,0,32,40,0,1,9,0,365,436,1,4,5,0,41,52,1,0,0,0,0,2,0,29,45,0,5,6,0,375,465,2,0,1,0,50,39,1,0,2,0,1,2,0,26,32,0,1,3,0,457,488,0,3,1,0,36,47,2,1,1,0,1,6,0,38,44,1,0,4,0,446,473,2,1,2,0,44,40,1,1,0,0,2,3,0,44,52,0,2,4,0,420,478,3,1,2,0,44,35,1,3,0,0,2,1,0,48,48,0,0,0,0,412,426,0,1,1,0,32,48,0,0,0,0,2,4,0,102,154,1,1,5,0,1187,1387,2,7,2,0,85,100,2
Pike County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,3,0,59,55,0,9,12,0,705,702,5,9,8,0,83,67,0,0,0,0,2,2,0,42,51,0,6,3,0,390,453,2,8,5,0,48,36,1,1,1,0,2,4,0,46,42,0,3,8,0,433,501,0,3,5,0,43,36,2,1,1,0,0,3,0,38,37,0,4,3,0,411,504,1,4,6,0,38,29,0,0,2,0,0,3,0,35,40,0,4,4,0,479,519,0,4,3,0,39,31,0,2,0,0,2,3,0,30,50,0,2,5,0,527,559,0,0,1,0,37,29,0,1,0,0,1,2,0,56,56,0,3,4,0,531,549,0,5,1,0,34,35,0,0,0,0,1,3,0,58,47,0,1,4,0,575,536,0,2,5,0,39,29,0,1,0,0,3,1,0,59,59,0,2,3,0,444,495,2,3,4,0,29,27,0,3,0,0,1,4,0,114,156,0,1,5,0,1090,1211,0,4,3,0,72,60,0
Polk County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,7,0,130,162,1,99,146,1,940,936,11,32,38,1,208,123,2,0,0,0,0,5,0,101,120,0,54,65,1,706,783,2,21,12,0,92,70,1,0,4,0,4,7,0,117,148,0,31,34,0,711,795,1,14,14,0,75,56,0,2,1,0,3,6,0,93,139,0,25,31,0,644,745,0,7,10,0,61,56,1,0,0,0,1,7,0,62,126,0,22,18,0,611,731,1,10,10,0,39,61,0,1,1,0,2,6,0,91,125,1,19,12,0,729,845,1,6,7,1,48,44,0,2,2,0,3,4,0,108,113,0,27,13,0,804,859,3,6,2,0,61,56,0,1,1,0,5,5,0,90,139,0,21,12,0,849,898,0,10,9,0,61,48,1,0,1,0,3,2,0,90,129,0,13,11,0,846,932,2,4,1,0,51,54,0,1,0,0,2,2,0,201,336,0,17,10,0,2200,2544,4,2,8,0,107,118,0
Pulaski County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,97,96,1,6,9,0,174,171,1,12,7,0,17,5,0,0,0,0,2,1,0,53,70,0,7,3,0,117,118,1,4,1,0,17,11,0,1,0,0,1,3,0,59,82,0,1,1,0,117,123,1,0,4,0,8,7,0,0,0,0,3,3,0,47,77,0,0,0,0,118,123,0,2,1,0,12,1,0,0,0,0,0,1,0,55,66,0,3,2,0,104,128,0,1,4,0,5,4,0,1,0,0,1,1,0,39,58,0,2,3,0,139,142,0,3,4,0,8,10,0,0,0,0,2,3,0,49,58,0,1,0,0,175,170,0,1,5,0,10,8,0,0,2,0,0,0,0,64,77,0,3,3,0,184,192,1,1,3,0,3,8,0,0,0,0,1,1,0,72,96,0,0,0,0,174,186,0,1,0,0,7,9,0,1,2,0,3,0,0,129,219,0,2,4,0,530,623,0,6,5,0,10,22,0
