




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
LAWRENCEVILLE I               3312                          218                           401                           227                           0                             846                           262                           624                           399                           2                             1287                          2133                          
BAYCREEK D                    4609                          320                           896                           386                           0                             1602                          193                           1003                          584                           0                             1780                          3382                          
BERKSHIRE J                   2731                          177                           618                           352                           0                             1147                          99                            520                           357                           2                             978                           2125                          
CATES M                       3988                          299                           948                           540                           1                             1788                          140                           735                           510                           2                             1387                          3175                          
CATES N                       2567                          249                           584                           390                           1                             1224                          115                           368                           261                           0                             744                           1968                          
DULUTH F                      6161                          207                           419                           298                           5                             929                           453                           1385                          877                           14                            2729                          3658                          
DULUTH G                      3067                          298                           568                           378                           1                             1245                          147                           452                           403                           2                             1004                          2249                          
GOODWINS E                    5491                          446                           931                           497                           1                             1875                          307                           960                           682                           1                             1950                          3825                          
GOODWINS F                    3212                          206                           485                           290                           0                             981                           175                           576                           434                           0                             1185                          2166                          
PINCKNEYVILLE T               3201                          219                           342                           287                           3                             851                           213                           569                           382                           2                             1166                          2017                          
SUWANEE B                     4656                          266                           1181                          495                           0                             1942                          111                           904                           529                           0                             1544                          3486                          
PINCKNEYVILLE U               2090                          207                           216                           160                           0                             583                           214                           393                           267                           5                             879                           1462                          
PUCKETTS B                    3096                          300                           895                           275                           1                             1471                          106                           468                           261                           0                             835                           2306                          
BERKSHIRE L                   3265                          170                           284                           173                           0                             627                           323                           665                           423                           1                             1412                          2039                          
ROCKBRIDGE F                  5795                          84                            484                           250                           1                             819                           306                           2116                          826                           5                             3253                          4072                          
SUGAR HILL F                  4112                          399                           910                           384                           6                             1699                          203                           568                           432                           2                             1205                          2904                          
SUWANEE C                     5675                          364                           1123                          595                           5                             2087                          194                           933                           750                           2                             1879                          3966                          
CATES O                       1434                          180                           244                           152                           1                             577                           81                            245                           190                           3                             519                           1096                          
BAYCREEK E                    3265                          198                           458                           211                           1                             868                           214                           734                           395                           4                             1347                          2215                          
BERKSHIRE M                   1864                          184                           364                           225                           2                             775                           94                            305                           223                           0                             622                           1397                          
MARTINS G                     2425                          141                           208                           110                           0                             459                           251                           497                           272                           1                             1021                          1480                          
DULUTH H                      2813                          182                           483                           340                           3                             1008                          134                           441                           451                           2                             1028                          2036                          
BERKSHIRE N                   3128                          113                           785                           413                           1                             1312                          88                            594                           442                           0                             1124                          2436                          
PINCKNEYVILLE V               1706                          109                           200                           117                           0                             426                           111                           331                           188                           2                             632                           1058                          
PINCKNEYVILLE W               4253                          255                           552                           450                           2                             1259                          256                           743                           509                           5                             1513                          2772                          
MARTINS H                     5037                          257                           544                           393                           6                             1200                          384                           1037                          645                           8                             2074                          3274                          
MARTINS I                     4078                          176                           357                           235                           3                             771                           343                           809                           504                           3                             1659                          2430                          
MARTINS J                     3923                          169                           251                           130                           4                             554                           443                           921                           487                           6                             1857                          2411                          
GARNERS F                     1796                          123                           359                           181                           1                             664                           96                            333                           226                           2                             657                           1321                          
BERKSHIRE O                   2589                          191                           545                           333                           0                             1069                          120                           401                           326                           3                             850                           1919                          
BERKSHIRE P                   1476                          100                           156                           84                            1                             341                           122                           243                           173                           1                             539                           880                           
PINCKNEYVILLE X               3412                          252                           618                           449                           10                            1329                          157                           561                           546                           7                             1271                          2600                          
ROCKBRIDGE G                  5799                          145                           429                           230                           5                             809                           378                           1834                          903                           11                            3126                          3935                          
PINCKNEYVILLE Y               3272                          112                           178                           100                           0                             390                           351                           643                           329                           2                             1325                          1715                          
GOODWINS G                    2661                          166                           291                           110                           3                             570                           228                           566                           344                           1                             1139                          1709                          
PINCKNEYVILLE Z               1898                          316                           385                           342                           0                             1043                          75                            189                           291                           0                             555                           1598                          
PINCKNEYVILLE A1              2694                          332                           625                           552                           0                             1509                          75                            306                           378                           0                             759                           2268                          
LAWRENCEVILLE J               2249                          156                           225                           119                           0                             500                           178                           538                           274                           3                             993                           1493                          
GOODWINS H                    2796                          227                           508                           214                           0                             949                           156                           515                           354                           2                             1027                          1976                          
DUNCANS B                     5387                          586                           1698                          536                           3                             2823                          199                           729                           446                           3                             1377                          4200                          
SUWANEE D                     4732                          461                           1363                          583                           1                             2408                          136                           656                           544                           2                             1338                          3746                          
SUWANEE E                     4256                          378                           1167                          541                           1                             2087                          111                           696                           469                           1                             1277                          3364                          
LAWRENCEVILLE K               3282                          273                           615                           340                           0                             1228                          167                           613                           431                           0                             1211                          2439                          
HARBINS B                     4845                          342                           1287                          337                           1                             1967                          192                           854                           412                           3                             1461                          3428                          
BAYCREEK F                    4608                          253                           598                           267                           5                             1123                          262                           1313                          625                           6                             2206                          3329                          
PUCKETTS C                    3367                          269                           906                           270                           1                             1446                          119                           501                           294                           0                             914                           2360                          
HOG MOUNTAIN C                4292                          359                           969                           360                           1                             1689                          184                           657                           463                           1                             1305                          2994                          
ROCKYCREEK B                  5061                          386                           1286                          418                           1                             2091                          211                           916                           453                           2                             1582                          3673                          
DULUTH I                      5105                          323                           1001                          746                           0                             2070                          165                           684                           786                           1                             1636                          3706                          
MARTINS K                     5352                          225                           432                           287                           0                             944                           469                           1329                          755                           4                             2557                          3501                          
SUWANEE H                     3785                          343                           1219                          529                           0                             2091                          98                            489                           371                           1                             959                           3050                          
SUGAR HILL G                  2814                          303                           821                           297                           0                             1421                          67                            363                           330                           1                             761                           2182                          
SUWANEE F                     3966                          313                           836                           371                           2                             1522                          158                           686                           519                           2                             1365                          2887                          
LAWRENCEVILLE L               4802                          240                           788                           398                           0                             1426                          267                           1089                          649                           2                             2007                          3433                          
LAWRENCEVILLE M               7255                          258                           622                           310                           3                             1193                          515                           2003                          1007                          5                             3530                          4723                          
BAYCREEK G                    6241                          280                           823                           341                           0                             1444                          307                           1918                          850                           1                             3076                          4520                          
BAYCREEK H                    6811                          385                           1400                          589                           2                             2376                          306                           1697                          841                           3                             2847                          5223                          
BAYCREEK I                    5899                          265                           833                           393                           6                             1497                          313                           1461                          739                           5                             2518                          4015                          
BERKSHIRE Q                   1802                          168                           318                           186                           1                             673                           97                            276                           216                           1                             590                           1263                          
GOODWINS I                    2501                          253                           419                           316                           0                             988                           147                           439                           315                           0                             901                           1889                          
DULUTH K                      2786                          80                            168                           92                            1                             341                           227                           548                           299                           1                             1075                          1416                          
HARBINS C                     2850                          392                           636                           196                           2                             1226                          156                           583                           260                           1                             1000                          2226                          
ROCKYCREEK C                  4806                          348                           1251                          400                           0                             1999                          219                           902                           496                           4                             1621                          3620                          
LAWRENCEVILLE N               2573                          187                           309                           165                           0                             661                           190                           453                           269                           7                             919                           1580                          
PUCKETTS D                    3622                          265                           988                           374                           4                             1631                          135                           544                           351                           1                             1031                          2662                          
SUWANEE G                     3904                          322                           766                           330                           0                             1418                          190                           783                           502                           1                             1476                          2894                          
BAYCREEK J                    4567                          205                           552                           278                           0                             1035                          298                           1264                          603                           5                             2170                          3205                          
Totals:                       581467                        37326                         96569                         47933                         240                           182068                        33553                         116805                        71332                         380                           222070                        404138                        

                                                                                                                           Co Commission Chair/Presidente de la Comisión del Condado
                                                            David Post (Rep)                                                                                                                                      Nicole Love Hendrickson (Dem)                                                                                                                         
County                        Registered Voters             Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Election Day Votes            Advanced Voting Votes         Absentee by Mail Votes        Provisional Votes             Choice Total                  Total                         
HARBINS A                     7182                          374                           1527                          502                           1                             2404                          328                           1557                          871                           5                             2761                          5165                          
ROCKBRIDGE A                  3987                          108                           271                           169                           0                             548                           257                           1281                          636                           1                             2175                          2723                          
DACULA                        4777                          243                           929                           257                           1                             1430                          241                           1093                          595                           1                             1930                          3360                          
SUWANEE A                     1737                          117                           299                           138                           0                             554                           97                            369                           196                           1                             663                           1217                          
BAYCREEK A                    2720                          235                           545                           315                           0                             1095                          142                           500                           357                           0                             999                           2094                          
GOODWINS A                    3921                          284                           556                           238                           1                             1079                          261                           784                           537                           1                             1583                          2662                          
DULUTH A                      5042                          234                           901                           460                           2                             1597                          207                           1016                          904                           0                             2127                          3724                          
DUNCANS A                     4729                          351                           1536                          488                           2                             2377                          124                           729                           471                           0                             1324                          3701                          
PUCKETTS A                    5692                          318                           1978                          642                           1                             2939                          150                           816                           493                           0                             1459                          4398                          
CATES A                       2387                          174                           471                           306                           1                             952                           110                           352                           293                           1                             756                           1708                          
BERKSHIRE A                   2555                          179                           222                           127                           0                             528                           255                           434                           316                           2                             1007                          1535                          
BERKSHIRE B                   5338                          120                           524                           334                           3                             981                           293                           1373                          849                           4                             2519                          3500                          
DUNCANS C                     3040                          319                           1013                          296                           1                             1629                          95                            431                           278                           0                             804                           2433                          
GARNERS A                     3520                          205                           798                           423                           1                             1427                          130                           690                           455                           1                             1276                          2703                          
LAWRENCEVILLE A               3635                          179                           481                           271                           0                             931                           230                           632                           386                           4                             1252                          2183                          
LAWRENCEVILLE B               5097                          138                           616                           294                           1                             1049                          210                           1476                          704                           2                             2392                          3441                          
MARTINS A                     3303                          131                           213                           127                           1                             472                           320                           774                           404                           4                             1502                          1974                          
MARTINS B                     3001                          119                           337                           176                           0                             632                           280                           642                           355                           2                             1279                          1911                          
MARTINS C                     2549                          169                           310                           188                           1                             668                           228                           508                           348                           5                             1089                          1757                          
PINCKNEYVILLE A               2791                          114                           146                           75                            2                             337                           325                           602                           348                           5                             1280                          1617                          
PINCKNEYVILLE B               3485                          120                           242                           143                           2                             507                           290                           743                           367                           4                             1404                          1911                          
PINCKNEYVILLE C               2082                          257                           284                           270                           1                             812                           112                           332                           347                           4                             795                           1607                          
PINCKNEYVILLE D               2264                          78                            135                           77                            1                             291                           260                           442                           220                           4                             926                           1217                          
SUGAR HILL A                  4654                          398                           864                           342                           2                             1606                          248                           638                           455                           3                             1344                          2950                          
SUGAR HILL B                  5596                          501                           1179                          427                           10                            2117                          290                           919                           569                           4                             1782                          3899                          
HOG MOUNTAIN A                5011                          311                           724                           317                           1                             1353                          321                           1083                          630                           1                             2035                          3388                          
HOG MOUNTAIN B                4583                          384                           1045                          435                           3                             1867                          181                           770                           634                           2                             1587                          3454                          
ROCKYCREEK A                  5939                          473                           1457                          402                           0                             2332                          265                           1147                          644                           3                             2059                          4391                          
CATES B                       1587                          143                           333                           181                           1                             658                           84                            231                           187                           1                             503                           1161                          
CATES C                       2903                          173                           305                           194                           1                             673                           183                           771                           419                           2                             1375                          2048                          
HOG MOUNTAIN D                3179                          280                           681                           245                           1                             1207                          147                           478                           399                           1                             1025                          2232                          
BERKSHIRE D                   2945                          148                           491                           317                           1                             957                           112                           608                           498                           3                             1221                          2178                          
BERKSHIRE E                   1997                          162                           457                           206                           0                             825                           78                            349                           288                           1                             716                           1541                          
BERKSHIRE F                   2254                          170                           213                           160                           0                             543                           186                           378                           306                           1                             871                           1414                          
CATES D                       3755                          228                           626                           338                           0                             1192                          188                           819                           558                           1                             1566                          2758                          
CATES E                       2942                          216                           569                           316                           1                             1102                          145                           588                           471                           1                             1205                          2307                          
PINCKNEYVILLE E               2184                          104                           103                           61                            3                             271                           233                           492                           275                           6                             1006                          1277                          
PINCKNEYVILLE F               2546                          108                           226                           116                           0                             450                           236                           468                           323                           2                             1029                          1479                          
DUNCANS D                     7153                          612                           2084                          729                           3                             3428                          283                           957                           695                           0                             1935                          5363                          
PINCKNEYVILLE H               4536                          330                           739                           451                           0                             1520                          230                           868                           785                           2                             1885                          3405                          
BAYCREEK B                    5969                          270                           635                           284                           2                             1191                          425                           1734                          793                           7                             2959                          4150                          
LAWRENCEVILLE C               3037                          298                           604                           277                           0                             1179                          130                           491                           330                           1                             952                           2131                          
MARTINS D                     2402                          97                            121                           92                            2                             312                           264                           452                           296                           1                             1013                          1325                          
ROCKBRIDGE B                  4177                          135                           324                           176                           0                             635                           301                           1166                          591                           1                             2059                          2694                          
GARNERS B                     3178                          115                           396                           222                           5                             738                           184                           851                           470                           1                             1506                          2244                          
