County,Precinct,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total Votes
Gwinnett,ROCKBRIDGE A,3987.0,96.0,264.0,159.0,1.0,520.0,261.0,1277.0,626.0,0.0,2164.0,12.0,34.0,25.0,0.0,71.0,2755.0
Gwinnett,DACULA,4777.0,241.0,914.0,236.0,1.0,1392.0,243.0,1086.0,602.0,1.0,1932.0,20.0,49.0,13.0,0.0,82.0,3406.0
Gwinnett,SUWANEE A,1737.0,118.0,297.0,133.0,0.0,548.0,96.0,364.0,192.0,1.0,653.0,6.0,27.0,18.0,0.0,51.0,1252.0
Gwinnett,BAYCREEK A,2720.0,247.0,546.0,307.0,0.0,1100.0,127.0,500.0,364.0,0.0,991.0,14.0,18.0,12.0,0.0,44.0,2135.0
Gwinnett,GOODWINS A,3921.0,292.0,559.0,223.0,1.0,1075.0,265.0,783.0,542.0,1.0,1591.0,20.0,27.0,26.0,0.0,73.0,2739.0
Gwinnett,DULUTH A,5042.0,238.0,876.0,433.0,1.0,1548.0,215.0,1035.0,939.0,1.0,2190.0,12.0,44.0,42.0,0.0,98.0,3836.0
Gwinnett,DUNCANS A,4729.0,356.0,1538.0,479.0,1.0,2374.0,129.0,735.0,481.0,0.0,1345.0,13.0,35.0,20.0,1.0,69.0,3788.0
Gwinnett,PUCKETTS A,5692.0,288.0,1962.0,642.0,1.0,2893.0,161.0,823.0,483.0,0.0,1467.0,30.0,53.0,32.0,0.0,115.0,4475.0
Gwinnett,CATES A,2387.0,170.0,470.0,310.0,0.0,950.0,107.0,343.0,274.0,1.0,725.0,15.0,28.0,15.0,0.0,58.0,1733.0
Gwinnett,BERKSHIRE A,2555.0,169.0,238.0,117.0,0.0,524.0,259.0,427.0,316.0,2.0,1004.0,21.0,14.0,6.0,0.0,41.0,1569.0
Gwinnett,BERKSHIRE B,5338.0,127.0,521.0,316.0,3.0,967.0,293.0,1389.0,870.0,5.0,2557.0,15.0,41.0,14.0,0.0,70.0,3594.0
Gwinnett,DUNCANS C,3040.0,331.0,1011.0,296.0,1.0,1639.0,83.0,428.0,279.0,0.0,790.0,15.0,29.0,13.0,0.0,57.0,2486.0
Gwinnett,GARNERS A,3520.0,203.0,775.0,409.0,1.0,1388.0,135.0,703.0,471.0,1.0,1310.0,12.0,39.0,16.0,1.0,68.0,2766.0
Gwinnett,LAWRENCEVILLE A,3635.0,161.0,492.0,264.0,0.0,917.0,231.0,624.0,399.0,4.0,1258.0,28.0,26.0,14.0,0.0,68.0,2243.0
Gwinnett,LAWRENCEVILLE B,5097.0,132.0,619.0,274.0,1.0,1026.0,211.0,1469.0,697.0,3.0,2380.0,16.0,42.0,32.0,0.0,90.0,3496.0
Gwinnett,MARTINS A,3303.0,129.0,232.0,119.0,3.0,483.0,319.0,768.0,413.0,2.0,1502.0,25.0,13.0,11.0,1.0,50.0,2035.0
Gwinnett,MARTINS B,3001.0,115.0,338.0,180.0,0.0,633.0,278.0,636.0,353.0,1.0,1268.0,18.0,24.0,13.0,1.0,56.0,1957.0
Gwinnett,MARTINS C,2549.0,164.0,316.0,188.0,1.0,669.0,231.0,494.0,335.0,5.0,1065.0,9.0,18.0,15.0,0.0,42.0,1776.0
Gwinnett,PINCKNEYVILLE A,2791.0,118.0,143.0,84.0,3.0,348.0,315.0,598.0,324.0,5.0,1242.0,21.0,20.0,12.0,0.0,53.0,1643.0
Gwinnett,PINCKNEYVILLE B,3485.0,121.0,240.0,138.0,4.0,503.0,283.0,751.0,376.0,4.0,1414.0,21.0,31.0,11.0,0.0,63.0,1980.0
