County,Precinct,Registered Voters,"Daniel J. """"Danny"""" Porter (I) (Rep)_Election Day Votes","Daniel J. """"Danny"""" Porter (I) (Rep)_Advanced Voting Votes","Daniel J. """"Danny"""" Porter (I) (Rep)_Absentee by Mail Votes","Daniel J. """"Danny"""" Porter (I) (Rep)_Provisional Votes","Daniel J. """"Danny"""" Porter (I) (Rep)_Choice Total",Patsy Austin-Gatson (Dem)_Election Day Votes,Patsy Austin-Gatson (Dem)_Advanced Voting Votes,Patsy Austin-Gatson (Dem)_Absentee by Mail Votes,Patsy Austin-Gatson (Dem)_Provisional Votes,Patsy Austin-Gatson (Dem)_Choice Total,Total Votes
Gwinnett,GARNERS D,3490.0,93.0,284.0,234.0,0.0,611.0,237.0,909.0,573.0,0.0,1719.0,2330.0
Gwinnett,BERKSHIRE H,1987.0,104.0,178.0,157.0,3.0,442.0,154.0,340.0,240.0,2.0,736.0,1178.0
Gwinnett,PINCKNEYVILLE O,3359.0,108.0,257.0,131.0,1.0,497.0,285.0,776.0,331.0,5.0,1397.0,1894.0
Gwinnett,PUCKETTS E,5660.0,285.0,1079.0,445.0,1.0,1810.0,248.0,1111.0,648.0,3.0,2010.0,3820.0
Gwinnett,CATES I,3537.0,272.0,631.0,359.0,1.0,1263.0,180.0,779.0,502.0,1.0,1462.0,2725.0
Gwinnett,CATES J,3478.0,237.0,460.0,330.0,3.0,1030.0,192.0,785.0,503.0,1.0,1481.0,2511.0
Gwinnett,GOODWINS B,3960.0,325.0,916.0,396.0,1.0,1638.0,190.0,604.0,473.0,0.0,1267.0,2905.0
Gwinnett,LAWRENCEVILLE F,4061.0,181.0,352.0,177.0,1.0,711.0,285.0,1135.0,593.0,3.0,2016.0,2727.0
Gwinnett,MARTINS E,6193.0,151.0,246.0,114.0,0.0,511.0,601.0,1399.0,681.0,7.0,2688.0,3199.0
Gwinnett,PINCKNEYVILLE P,2185.0,174.0,270.0,276.0,0.0,720.0,183.0,379.0,331.0,2.0,895.0,1615.0
Gwinnett,PINCKNEYVILLE Q,1915.0,76.0,72.0,42.0,1.0,191.0,273.0,426.0,220.0,2.0,921.0,1112.0
Gwinnett,ROCKBRIDGE C,5125.0,138.0,351.0,222.0,2.0,713.0,286.0,1720.0,960.0,5.0,2971.0,3684.0
