County,Precinct,Registered Voters,Rick W. Allen (I) (Rep)_Election Day Votes,Rick W. Allen (I) (Rep)_Advanced Voting Votes,Rick W. Allen (I) (Rep)_Absentee by Mail Votes,Rick W. Allen (I) (Rep)_Provisional Votes,Rick W. Allen (I) (Rep)_Choice Total,Liz Johnson (Dem)_Election Day Votes,Liz Johnson (Dem)_Advanced Voting Votes,Liz Johnson (Dem)_Absentee by Mail Votes,Liz Johnson (Dem)_Provisional Votes,Liz Johnson (Dem)_Choice Total,Total Votes
Richmond,109,1052.0,32.0,59.0,40.0,0.0,131.0,97.0,228.0,160.0,1.0,486.0,617.0
Richmond,111,1578.0,63.0,90.0,56.0,0.0,209.0,160.0,242.0,259.0,1.0,662.0,871.0
Richmond,112,882.0,23.0,91.0,99.0,0.0,213.0,41.0,114.0,154.0,2.0,311.0,524.0
Richmond,114,856.0,24.0,17.0,22.0,0.0,63.0,101.0,132.0,131.0,1.0,365.0,428.0
Richmond,201,581.0,23.0,10.0,14.0,1.0,48.0,229.0,266.0,218.0,4.0,717.0,765.0
Richmond,115,1332.0,45.0,43.0,29.0,0.0,117.0,46.0,42.0,51.0,0.0,139.0,256.0
Richmond,202,4492.0,228.0,297.0,231.0,0.0,756.0,475.0,709.0,520.0,8.0,1712.0,2468.0
Richmond,203,991.0,11.0,9.0,10.0,1.0,31.0,127.0,161.0,189.0,2.0,479.0,510.0
Richmond,204,1578.0,187.0,223.0,134.0,1.0,545.0,114.0,233.0,184.0,2.0,533.0,1078.0
Richmond,207,2705.0,58.0,63.0,47.0,1.0,169.0,326.0,409.0,400.0,7.0,1142.0,1311.0
Richmond,208,2651.0,82.0,104.0,72.0,2.0,260.0,298.0,460.0,374.0,2.0,1134.0,1394.0
Richmond,210,1507.0,42.0,66.0,44.0,1.0,153.0,150.0,305.0,343.0,3.0,801.0,954.0
Richmond,301,2409.0,343.0,597.0,310.0,1.0,1251.0,116.0,281.0,269.0,0.0,666.0,1917.0
