County,Precinct,Registered Voters,Don Cole (Rep)_Election Day Votes,Don Cole (Rep)_Advanced Voting Votes,Don Cole (Rep)_Absentee by Mail Votes,Don Cole (Rep)_Provisional Votes,Don Cole (Rep)_Choice Total,Sanford Bishop (I) (Dem)_Election Day Votes,Sanford Bishop (I) (Dem)_Advanced Voting Votes,Sanford Bishop (I) (Dem)_Absentee by Mail Votes,Sanford Bishop (I) (Dem)_Provisional Votes,Sanford Bishop (I) (Dem)_Choice Total,Total Votes
Dougherty,Alice Coachman Elementary,750.0,3.0,1.0,3.0,0.0,7.0,130.0,167.0,209.0,0.0,506.0,513.0
Dougherty,Carver Teen Center,1667.0,4.0,1.0,4.0,0.0,9.0,234.0,156.0,239.0,3.0,632.0,641.0
Dougherty,Shiloh Baptist Church,1510.0,9.0,16.0,5.0,0.0,30.0,264.0,170.0,228.0,0.0,662.0,692.0
Dougherty,Litman Cathedral,1486.0,14.0,12.0,2.0,0.0,28.0,237.0,187.0,212.0,23.0,659.0,687.0
Dougherty,Phoebe Healthworks,1574.0,60.0,33.0,22.0,0.0,115.0,179.0,151.0,186.0,0.0,516.0,631.0
Dougherty,Turner Elementary,1205.0,10.0,2.0,3.0,0.0,15.0,107.0,77.0,68.0,6.0,258.0,273.0
Dougherty,Jackson Heights Elementary,2549.0,9.0,4.0,5.0,0.0,18.0,403.0,328.0,376.0,0.0,1107.0,1125.0
Dougherty,Bill Miller Center,2404.0,42.0,32.0,22.0,1.0,97.0,337.0,381.0,292.0,4.0,1014.0,1111.0
Dougherty,Radium Middle School,693.0,54.0,22.0,26.0,0.0,102.0,104.0,121.0,79.0,0.0,304.0,406.0
Dougherty,Putney 1st Baptist Church,2819.0,443.0,211.0,121.0,0.0,775.0,315.0,343.0,315.0,1.0,974.0,1749.0
Dougherty,International Studies,1042.0,77.0,54.0,34.0,0.0,165.0,113.0,193.0,187.0,1.0,494.0,659.0
Dougherty,Phoebe East,2965.0,67.0,44.0,44.0,1.0,156.0,478.0,389.0,368.0,3.0,1238.0,1394.0
Dougherty,Pine Bluff Baptist Church,2221.0,192.0,121.0,98.0,0.0,411.0,285.0,315.0,317.0,0.0,917.0,1328.0
Dougherty,Albany Middle School,1963.0,18.0,18.0,13.0,0.0,49.0,348.0,271.0,255.0,4.0,878.0,927.0
Dougherty,Christ Church,1879.0,391.0,281.0,171.0,0.0,843.0,155.0,273.0,226.0,1.0,655.0,1498.0
Dougherty,Lamar Reese Elementary,1098.0,17.0,8.0,2.0,0.0,27.0,170.0,201.0,266.0,6.0,643.0,670.0
